級別	字詞	中文釋義
初級	accept	[動詞] 接受
中級	acceptable	[形容詞] 可以接受的;令人滿意的
中級	acceptance	[名詞] 接受;領受;(票據等的)承兌,認付
中級	accepted	[形容詞] 公認的
中級	access	[動詞] 取出(資料);使用;接近; [名詞] 通道;入口;門路
中高級	accessible	[形容詞] 可(或易)接近的;可(或易)得到的
中高級	accessory	[形容詞] 附加的;附屬的; [名詞] 附件;配件;從犯
初級	accident	[名詞] 事故;災禍
中級	accidental	[形容詞] 偶然的;意外的
中高級	acclaim	[動詞] 為...喝采;稱讚; [名詞] 歡呼;稱讚
中級	accommodate	[動詞] 能容納;能提供...膳宿;給...方便
中級	accommodation	[名詞] 適應;方便設施;住處
中級	accompany	[動詞] 陪同;伴隨
中級	accomplish	[動詞] 完成;實現;達到
中高級	accomplished	[形容詞] 完成了的;有造詣的
中級	accord	[動詞] (與...)一致;調解; [名詞] 一致;符合
中高級	accordance	[名詞] 一致;和諧;符合
中高級	accordingly	[副詞] 照著;相應地;因此
中級	account	[動詞] 把...視為;說明; [名詞] 帳目;描述
中高級	accountable	[形容詞] 應負責任的;可說明的
中級	accountant	[名詞] 會計師
中高級	accounting	[名詞] 會計;會計學
中高級	accumulate	[動詞] 累積;積聚
中高級	accumulation	[名詞] 累積;積聚
中級	accuracy	[名詞] 正確(性);準確(性)
中級	accurate	[形容詞] 準確的
中高級	accusation	[名詞] 指控;指責
中級	accuse	[動詞] 指控
中高級	accustom	[動詞] 使習慣於
中級	accustomed	[形容詞] 慣常的;適應了的
中高級	ace	[形容詞] 第一流的;突出的; [動詞] 發球得分;表現卓越; [名詞] (紙牌)A;么點牌;專家;發球得分
中級	ache	[動詞] (持續性地)疼痛;渴望; [名詞] (持續性地)疼痛
初級	achieve	[動詞] 實現
中級	achievement	[名詞] 成就
中級	acid	[形容詞] 酸性的;有酸味的; [名詞] (化學)酸
中高級	acknowledge	[動詞] 承認
中高級	acne	[名詞] 粉刺
中高級	acoustic	[形容詞] 聽覺的;音響的; [名詞] 發音響的器具
中級	acquaint	[動詞] 使認識;使熟悉
中級	acquaintance	[名詞] 相識的人
中級	acquire	[動詞] 取得;獲得
中高級	acquisition	[名詞] 收購;取得
中級	acre	[名詞] 英畝
初級	across	[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過
初級	act	[動詞] 扮演; [名詞] 行動,法案
中高級	acting	[形容詞] 代理的;臨時的;裝腔作勢的; [名詞] 演戲;演技;假裝
初級	action	[名詞] 動作
中高級	activate	[動詞] 啟動;發動;使活潑
初級	active	[形容詞] 活躍的
中高級	activist	[名詞] 激進主義份子;行動主義者
初級	activity	[名詞] 活動
初級	actor	[名詞] 男演員
初級	actress	[名詞] 女演員
中級	actual	[形容詞] 實際的;事實上的
初級	actually	[副詞] 實際上
中高級	acute	[形容詞] 尖銳的;敏銳的;劇烈的; [名詞] 置於母音上的發音符號(')
中高級	ad	[名詞] 廣告
中級	adapt	[動詞] 使適應;使適合，改編;改造
中高級	adaptation	[名詞] 適應;改寫
初級	add	[動詞] 添加
中高級	addict	[名詞] 入迷的人;有癮的人
中高級	addicted	[形容詞] 沈溺於不良嗜好的
中高級	addiction	[名詞] 沈溺;上癮
初級	addition	[名詞] 加;附加
中級	additional	[形容詞] 附加的;額外的
中高級	additive	[形容詞] 附加的; [名詞] 添加劑;添加物
初級	address	[名詞] 地址; 演說
中級	adequate	[形容詞] 足夠的
中高級	adhere	[動詞] 黏附;緊黏
中高級	adjacent	[形容詞] 毗連的;鄰近的
中級	adjective	[名詞] 形容詞
中高級	adjoin	[動詞] 貼近;毗連
中級	adjust	[動詞] 校準;調整;適應
中高級	adjustment	[名詞] 調節;調整
中高級	administer	[動詞] 管理;給予;執行
中級	administration	[名詞] 管理;經營;管理部門
中高級	administrative	[形容詞] 管理的;行政的
中高級	administrator	[名詞] 管理人;行政官員
中級	admirable	[形容詞] 值得讚揚的;絕妙的
中高級	admiral	[名詞] 艦隊司令; 海軍上將
中級	admiration	[名詞] 欽佩;羨慕
初級	admire	[動詞] 欽佩;欣賞
中級	admission	[名詞] 進入許可;入場費;承認
初級	admit	[動詞] 承認;准許進入;可容納
中高級	adolescence	[名詞] 青春期
中高級	adolescent	[形容詞] 青少年的;未成熟的; [名詞] 青少年
初級	adopt	[動詞] 採納;收養;接受
中高級	adore	[動詞] 崇拜;愛慕
初級	adult	[名詞] 成年人
中高級	adulthood	[名詞] 成年(期)
初級	advance	[動詞] 推進;提升;貸(款); [名詞] 前進;發展;預付
中級	advanced	[形容詞] 先進的;高等的
中高級	advancement	[名詞] 前進;進展;預付款項
初級	advantage	[名詞] 優點,優勢;利益
中高級	advent	[名詞] 出現;到來
中級	adventure	[名詞] 冒險;冒險活動
中高級	adverb	[名詞] 副詞
中高級	adverse	[形容詞] 逆向的;相反的;反面的
中高級	advert	[名詞] 促銷廣告
中級	advertise	[動詞] 為...做廣告;公佈
中高級	advertisement	[名詞] 廣告
中高級	advertiser	[名詞] 刊登廣告者;廣告客戶
中高級	advertising	[名詞] (總稱)廣告;登廣告
中級	advertize	[動詞] advertise
初級	advice	[名詞] 忠告
中高級	advisable	[形容詞] 可取的;明智的;適當的
初級	advise	[動詞] 勸告
中級	adviser	[名詞] 顧問;指導教授
中級	advisor	[名詞] adviser
中高級	advisory	[形容詞] 顧問的;諮詢的; [名詞] 報告;(警告危險的)公告
中高級	advocate	[動詞] 擁護;提倡; [名詞] 提倡者;擁護者
中高級	aerial	[形容詞] 航空的;大氣的;虛幻的; [名詞] 天線
中高級	aerospace	[名詞] 航空航天學
中高級	aesthetic	[形容詞] 美學的
中高級	aesthetics	[名詞] 美學
初級	affair	[名詞] 事件;風流韻事;喜慶活動
初級	affect	[動詞] 影響
中級	affection	[名詞] 愛慕;鍾愛
中高級	affectionate	[形容詞] 充滿深情的;溫柔親切的
中高級	affiliate	[動詞] 接納為成員; [名詞] 成員;成員組織;分會
中高級	affirm	[動詞] 斷言;申明;堅稱
中高級	afflict	[動詞] 使痛苦;使苦惱;折磨
中級	afford	[動詞] 買得起
初級	afraid	[形容詞] 害怕
初級	after	[介系詞] 在…之後; [連接詞] 在...之後
中高級	aftermath	[名詞] 後果;餘波
初級	afternoon	[名詞] 下午;午後
中級	afterwards	[副詞] 之後,後來
初級	again	[副詞] 再一次
初級	against	[介系詞] 反對
初級	age	[動詞] 使變老;使(酒之)味道變醇;使成熟; [名詞] 年齡
中級	aged	[形容詞] 年老的;舊的
中級	agency	[名詞] 仲介;代理
中高級	agenda	[名詞] 議程
中級	agent	[名詞] 代理人;代理商
中高級	aggravate	[動詞] 加重;增劇;使惡化
中高級	aggregate	[形容詞] 聚集的;合計的; [動詞] 聚集; [名詞] 總數;合計
中高級	aggression	[名詞] 侵略;侵犯行為
中級	aggressive	[形容詞] 好鬥的,挑釁的;有進取精神的
中高級	aging	[形容詞] 變老的; [名詞] 變老;老化;(酒等的)陳化
中高級	agitate	[動詞] 使激動;攪動;煽動
中高級	agitation	[名詞] 激動;鼓動;攪動
初級	ago	[副詞] 以前
中高級	agony	[名詞] 極度痛苦
初級	agree	[動詞] 同意
中級	agreeable	[形容詞] 欣然贊同的
中級	agreement	[名詞] 同意
中高級	agricultural	[形容詞] 農業的
中級	agriculture	[名詞] 農業
初級	ahead	[副詞] 在前;向前;預先;事前
中高級	AI	[名詞] 人工智慧 (artificial intelligence)
初級	aid	[動詞] 有助於; [名詞] 幫助;助手;助聽器
中高級	aide	[名詞] 助手
初級	aids	[名詞] 愛滋病
初級	aim	[動詞] 瞄準,對準; [名詞] 目標,目的
初級	air	[名詞] 空氣
中級	air-conditioned	[形容詞] 裝有空氣調節設備的
初級	aircraft	[名詞] 航空器;飛機
中高級	airlift	[動詞] 空運; [名詞] (緊急)空運補給系統
初級	airline	[名詞] 航空公司
中級	airmail	[名詞] 航空郵件
初級	airplane	[名詞] 飛機
初級	airport	[名詞] 飛機場
中高級	airtight	[形容詞] 密閉的;無懈可擊的
中高級	airway	[名詞] 風道;氣道;航空公司
中高級	aisle	[名詞] 通道;走道
初級	alarm	[名詞] 警鈴;警報;驚慌
中高級	alarming	[形容詞] 驚人的;令人擔憂的;告急的
初級	album	[名詞] 相簿;集郵簿;唱片集
中級	alcohol	[名詞] 酒精;酒
中級	alcoholic	[形容詞] 含酒精的;酗酒的; [名詞] 酒鬼
中級	alert	[形容詞] 警惕的;機敏的; [動詞] 向...報警;使警覺; [名詞] 警戒,警報;警戒狀態
中高級	algebra	[名詞] 代數
中高級	alien	[形容詞] 外國的;外國人的; [名詞] 外國人;外星人
中高級	alienate	[動詞] 使疏遠;離間
初級	alike	[形容詞] 相似的; [副詞] 一樣地,相似地
初級	alive	[形容詞] 活著的;活躍的
初級	all	[形容詞] 所有的;全部; [副詞] 完全地;(比分等)雙方相等; [代名詞] 一切
中高級	allegation	[名詞] 指控;(無證據的)指控
中高級	allege	[動詞] 指控;斷言;宣稱
中高級	alleged	[形容詞] 聲稱的;被說成的
中高級	allergic	[形容詞] 過敏的
中高級	allergy	[名詞] 過敏症
中高級	alleviate	[動詞] 減輕;緩和
中級	alley	[名詞] 小巷,後街
中高級	alliance	[名詞] 結盟;聯盟
中高級	allied	[形容詞] 結盟的;同類的
中高級	alligator	[名詞] 短吻鱷
中高級	allocate	[動詞] 分派;分配
初級	allow	[動詞] 允許
中級	allowance	[名詞] 津貼,零用錢
中高級	alloy	[名詞] 合金
中高級	ally	[動詞] 使結盟;使聯姻; [名詞] 同盟國;同盟者
中高級	almond	[名詞] 杏仁
初級	almost	[副詞] 幾乎
初級	alone	[形容詞] 單獨的;孤單的; [副詞] 單獨地;獨自地
初級	along	[副詞] 向前;一起;帶著;來到;去到; [介系詞] 沿著
中級	alongside	[副詞] 在旁邊;沿著; [介系詞] 在...旁邊;沿著...的邊
初級	aloud	[副詞] 大聲地
初級	alphabet	[名詞] 字母
初級	already	[副詞] 已經
初級	also	[副詞] 也
中高級	alter	[動詞] 改變;修改
中高級	alternate	[形容詞] 輪流的; [動詞] 輪流
中級	alternative	[形容詞] 兩者(或若干)中擇一的; [名詞] 選擇的自由(或餘地)
中高級	alternatively	[副詞] 二者選一地
初級	although	[連接詞] 雖然
中級	altitude	[名詞] 高度;海拔
初級	altogether	[副詞] 完全地;總共
中級	aluminium	[名詞] 鋁
初級	always	[副詞] 總是
初級	am	[動詞] 是,在; be 動詞第一人稱,單數,現在式
中級	amateur	[形容詞] 業餘的;外行的; [名詞] 業餘從事者;外行
中級	amaze	[動詞] 使大為驚奇
中級	amazed	[形容詞] 吃驚的
中級	amazing	[形容詞] 驚人的,令人吃驚的
中級	ambassador	[名詞] 大使
中高級	ambiguity	[名詞] 意義不明確;模稜兩可的話
中高級	ambiguous	[形容詞] 含糊不清的
中級	ambition	[名詞] 野心
中級	ambitious	[形容詞] 有野心的
初級	ambulance	[名詞] 救護車
中高級	ambush	[動詞] 埋伏下;伏擊; [名詞] 埋伏;伏擊
中高級	amend	[動詞] 修訂;改善
中高級	amendment	[名詞] 修正;改善
中高級	amends	[名詞] 賠罪;賠償
初級	America	[名詞] 美國;美洲
初級	American	[形容詞] 美國的;美洲的; [名詞] 美國人
中高級	amiable	[形容詞] 和藹可親的
中高級	amicable	[形容詞] 友善的;溫和的
中級	amid	[介系詞] 在...之間;在...之中
中高級	ammunition	[名詞] 軍火;砲彈
中高級	amnesty	[名詞] 大赦
初級	among	[介系詞] 在...之中
初級	amount	[名詞] 總數
中高級	ample	[形容詞] 大量的;充裕的
中高級	amplify	[動詞] 放大(聲音等);擴大
中級	amuse	[動詞] 逗...高興
中級	amused	[形容詞] 被逗樂的
中級	amusement	[名詞] 樂趣;消遣
中級	amusing	[形容詞] 好玩的;引人發笑的
初級	an	[冠詞] 一個;一種
中高級	analogy	[名詞] 相似;類推;類比
中級	analysis	[名詞] 分析
中級	analyst	[名詞] 分析師
中高級	analytical	[形容詞] 分析的
中級	analyze	[動詞] 分析
中級	ancestor	[名詞] 祖宗,祖先
中高級	anchor	[動詞] 拋錨;繫住;主持電視新聞節目; [名詞] 錨;靠山;電視新聞節目主持人
初級	ancient	[形容詞] 古代的
初級	and	[連接詞] 和；及；而；就
中高級	anecdote	[名詞] 軼事;祕史
初級	angel	[名詞] 天使
初級	anger	[名詞] 生氣
中級	angle	[名詞] 角度
中高級	angler	[名詞] 垂釣者
初級	angry	[形容詞] 生氣的
初級	animal	[名詞] 動物
中高級	animate	[形容詞] 有生命的;活潑的;有活力的; [動詞] 賦予生命;繪製(卡通影片)
中高級	animated	[形容詞] 活躍的;卡通(片)的
初級	ankle	[名詞] 腳踝
中級	anniversary	[名詞] 周年紀念日
中級	announce	[動詞] 宣佈
中級	announcement	[名詞] 宣佈
中級	announcer	[名詞] 宣告者;廣播員
中級	annoy	[動詞] 惹惱,使生氣;使煩惱
中高級	annoyance	[名詞] 惱怒;打擾;討厭的東西(或人)
中級	annoyed	[形容詞] 惱怒的,氣惱的
中級	annoying	[形容詞] 惱人的,使人煩惱的
中級	annual	[形容詞] 一年一次的;每年的; [名詞] 年刊
中高級	anonymous	[形容詞] 匿名的
初級	another	[形容詞] 另一個; [代名詞] 另一個
初級	answer	[動詞] 回答; [名詞] 答案
初級	ant	[名詞] 螞蟻
中高級	antarctic	[形容詞] 南極的;南極區的; [名詞] 南極區
中高級	antenna	[名詞] 觸角;觸鬚;天線
中高級	anthem	[名詞] 國歌;頌歌
中高級	antibiotic	[形容詞] 抗生的;抗菌的; [名詞] 抗生素;抗菌素
中高級	antibody	[名詞] 抗體
中高級	anticipate	[動詞] 預期;預先考慮到
中高級	anticipation	[名詞] 預期
中高級	antique	[形容詞] 年代久遠的;古董的; [名詞] 古物;古董;古風
中高級	antonym	[名詞] 反義字
中級	anxiety	[名詞] 焦慮,掛念
中級	anxious	[形容詞] 焦慮的,掛念的
初級	any	[形容詞] 任何的; [副詞] (用於疑問句,否定句,if子句中)少許,稍微; [代名詞] 任何一個
初級	anybody	[代名詞] 任何人
中級	anyhow	[副詞] 無論如何,總之
中高級	anymore	[副詞] (不)再;再也(不)
初級	anyone	[代名詞] 任何人
初級	anything	[代名詞] 任何事物
中級	anytime	[副詞] 在任何時候
初級	anyway	[副詞] 不管怎樣
初級	anywhere	[副詞] 任何地方
中級	apart	[形容詞] 分開的,相間隔的; [副詞] 分開地,相間隔地
中高級	apartheid	[名詞] 種族隔離政策;隔離
初級	apartment	[名詞] 公寓
中級	ape	[動詞] 模仿; [名詞] 大猩猩
初級	apologize	[動詞] 道歉
中級	apology	[名詞] 道歉
中高級	appall	[動詞] 使驚恐;使厭惡
中高級	appalling	[形容詞] 駭人的;十分低劣的
中高級	apparatus	[名詞] 設備;裝置;機構
中級	apparent	[形容詞] 明顯的,顯而易見的
中級	apparently	[副詞] 顯然地
中級	appeal	[動詞] 呼籲,懇求;有吸引力; [名詞] 呼籲；上訴；吸引力
初級	appear	[動詞] 出現
初級	appearance	[名詞] 出現;顯露;外貌
中高級	appendix	[名詞] 附錄;附件;盲腸
中級	appetite	[名詞] 胃口,食慾
中級	applaud	[動詞] 向...鼓掌;稱讚
中級	applause	[名詞] 鼓掌歡迎,喝采
初級	apple	[名詞] 蘋果
中級	appliance	[名詞] 用具;裝置,設備
中高級	applicable	[形容詞] 合用的;可實施的
中級	applicant	[名詞] 申請人
中級	application	[名詞] 申請
初級	apply	[動詞] 塗,敷;應用
中級	appoint	[動詞] 任命,指派
中級	appointment	[名詞] (尤指正式的)約會;約定
中高級	appraisal	[名詞] 評價;估量
中高級	appreciable	[形容詞] 看(或察覺)得出的
初級	appreciate	[動詞] 感謝;賞識
中級	appreciation	[名詞] 欣賞,鑑賞;賞識
中高級	apprehension	[名詞] 理解;領悟
中高級	apprentice	[動詞] 當學徒; [名詞] 學徒;生手
中級	approach	[動詞] 接近,靠近; [名詞] 靠近;方法,門徑
中級	appropriate	[形容詞] 適當的,恰當的
中級	approval	[名詞] 批准;認可
中級	approve	[動詞] 同意;贊許
中高級	approximate	[形容詞] 近似的;大概的; [動詞] 接近;近似;大致估計
初級	April	[名詞] 四月
中級	apron	[名詞] 圍裙;工作裙
中高級	apt	[形容詞] 易於...的;恰當的;聰明的
中高級	aptitude	[名詞] 傾向;習性;天資
中級	aquarium	[名詞] 養魚缸;水族館
中高級	arbitrary	[形容詞] 任意的;隨心所欲的
中高級	arc	[動詞] 成弧形; [名詞] 弧形;弧形物
中級	arch	[動詞] 使成弧形,拱起; [名詞] 拱門,拱形
中高級	archaeology	[名詞] 考古學
中級	architect	[名詞] 建築師
中高級	architectural	[形容詞] 建築學的;有關建築的
中級	architecture	[名詞] 建築學
中高級	archive	[動詞] 歸檔; [名詞] 檔案館;資料庫;檔案
中高級	arctic	[形容詞] 北極的;北極區的; [名詞] 北極地帶;北極圈
初級	are	[動詞] 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式
初級	area	[名詞] 地區;面積
中高級	arena	[名詞] 體育場;競技場
初級	aren't	[縮短形] are not
初級	argue	[動詞] 爭論
中級	argument	[名詞] 爭論
中級	arise	[動詞] 升起
中級	arithmetic	[形容詞] 算術的; [名詞] 算術,計算
初級	arm	[名詞] 手臂
初級	armchair	[名詞] 扶手椅子
中級	armed	[形容詞] 武裝的
中高級	armor	[動詞] 穿盔甲(或加裝甲);提供防禦; [名詞] 盔甲;裝甲;(動、植物)保護層
中高級	armored	[形容詞] 裝甲的;裝鋼板的
中高級	arms	[名詞] 武器;戰爭;戰鬥;兵役
初級	army	[名詞] 軍隊;大群
初級	around	[副詞] 到處,四處;周圍,附近;環繞;大約; [介系詞] 差不多;環繞
中級	arouse	[動詞] 喚起;激動;叫醒
初級	arrange	[動詞] 排列;整理
中級	arrangement	[名詞] 安排;準備工作
中高級	array	[動詞] 配置(兵力);整(隊); [名詞] 列陣;一系列
初級	arrest	[動詞] 逮捕;拘留; [名詞] 逮捕;遏止
中級	arrival	[名詞] 到達
初級	arrive	[動詞] 到達
中高級	arrogant	[形容詞] 傲慢的;自大的
中級	arrow	[名詞] 箭;箭號
初級	art	[名詞] 藝術
中高級	artery	[名詞] 動脈;要道
初級	article	[名詞] 文章;條款
中高級	articulate	[形容詞] 發音清晰的;口才好的; [動詞] 清晰地講話;相互連貫
中高級	artifact	[名詞] 人工製品;手工藝品
中級	artificial	[形容詞] 人工的
中高級	artillery	[名詞] 大砲;砲兵
初級	artist	[名詞] 藝術家
中級	artistic	[形容詞] 藝術的
初級	as	[副詞] 跟...一樣地,同樣地;如同;例如; [介系詞] 以…的身份；作為; [連接詞] 依照;當...時
中級	ascend	[動詞] 登高;上升;
中級	ascending	[形容詞] 上升的
中高級	ascertain	[動詞] 查明;確定
中高級	ascribe	[動詞] 把...歸因於
中級	ash	[名詞] 灰
中級	ashamed	[形容詞] 羞愧的
初級	Asia	[名詞] 亞洲
初級	Asian	[形容詞] 亞洲的;亞洲人的; [名詞] 亞洲人
中級	aside	[副詞] 在旁邊;到(或向)旁邊
初級	ask	[動詞] 問
初級	asleep	[形容詞] 睡著的
中級	aspect	[名詞] 方面,觀點
中高級	aspiration	[名詞] 熱望;抱負;送氣音;吸氣
中級	aspirin	[名詞] 阿斯匹靈(解熱鎮痛藥)
中高級	ass	[名詞] 驢子;笨蛋;太自負的人
中級	assassinate	[動詞] 暗殺,詆毀
中高級	assault	[動詞] 攻擊;抨擊;施暴; [名詞] 暴行;攻擊;抨擊;施暴
中級	assemble	[動詞] 集合,召集
中級	assembly	[名詞] 集會;集合
中高級	assert	[動詞] 斷言;堅持
中高級	assess	[動詞] 估價;評價
中高級	assessment	[名詞] 估價;評價
中級	asset	[名詞] 財產,資產
中級	assign	[動詞] 分配,分派
中高級	assignment	[名詞] (分派的)任務;工作;(課外)作業
中高級	assimilate	[動詞] 吸收(知識或食物等);同化
中級	assist	[動詞] 幫助,協助
中級	assistance	[名詞] 幫助,協助
初級	assistant	[形容詞] 助理的;輔助的;有幫助的; [名詞] 助手
中級	associate	[動詞] 聯想,把...聯想在一起; [名詞] 夥伴;同事
中高級	associated	[形容詞] 聯合的;關聯的
中級	association	[名詞] 協會,公會,社團
初級	assume	[動詞] 假定
中高級	assuming	[形容詞] 僭越的;傲慢的;不遜的;自大的; [連接詞] 假如
中高級	assumption	[名詞] 假設;擔任
中級	assurance	[名詞] 保證
中級	assure	[動詞] 向...保證,擔保
中高級	assured	[形容詞] 確定的;得到保證的;自信的
中高級	asthma	[名詞] 氣喘(病);哮喘
中級	astonish	[動詞] 使吃驚,使驚訝
中級	astonished	[形容詞] 驚訝的;驚愕的
中級	astonishing	[形容詞] 令人驚訝的;驚人的
中高級	astray	[形容詞] 迷路的;離開正道的; [副詞] 迷路;離開正道
中級	astronaut	[名詞] 太空人,宇航員
中高級	astronomer	[名詞] 天文學家
中高級	astronomy	[名詞] 天文學
中高級	asylum	[名詞] 收容院;避難所;政治庇護
初級	at	[介系詞] 在
中級	athlete	[名詞] 運動員,體育家
中級	athletic	[形容詞] 運動的,體育的;行動敏捷的
中高級	athletics	[名詞] 運動;體育(課)
中高級	ATM	[名詞] Automatic Teller Machine 自動存提款機
中級	atmosphere	[名詞] 大氣;氣氛
中級	atom	[名詞] 原子
中級	atomic	[形容詞] 原子的
中高級	atrocity	[名詞] 殘暴
中級	attach	[動詞] 裝上,貼上;使附屬
中高級	attached	[形容詞] 附屬的;依戀的
初級	attack	[動詞] 進攻;襲擊; [名詞] 攻擊
中高級	attain	[動詞] 達到;獲得
中級	attempt	[動詞] 試圖;企圖; [名詞] 企圖,嘗試
中高級	attempted	[形容詞] 企圖的;未遂的
初級	attend	[動詞] 出席,參加;照料;伴隨
中高級	attendance	[名詞] 出席;出席人數;侍候
中高級	attendant	[形容詞] 出席的;伴隨的;侍候的; [名詞] 出席者;陪從;服務員
初級	attention	[名詞] 注意;專心
中高級	attic	[名詞] 頂樓;閣樓
中級	attitude	[名詞] 態度
中高級	attorney	[名詞] 律師
中級	attract	[動詞] 吸引
中級	attraction	[名詞] 吸引;吸引力
中級	attractive	[形容詞] 有吸引力的;引人注目的
中高級	attribute	[動詞] 歸因於;歸咎於; [名詞] 屬性;特性;限定詞
中高級	auction	[動詞] 拍賣; [名詞] 拍賣
初級	audience	[名詞] 聽眾
中級	audio	[形容詞] 聽覺的,聲音的
中高級	audit	[動詞] 審核;查帳;旁聽; [名詞] 審計;查帳
中高級	auditorium	[名詞] 會堂;禮堂
初級	August	[名詞] 八月
初級	aunt	[名詞] 姨媽;姑媽
初級	Australia	[名詞] 澳大利亞
初級	Australian	[形容詞] 澳大利亞(人)的; [名詞] 澳大利亞人
中高級	authentic	[形容詞] 可信的;真實的
中級	author	[名詞] 作者;作家
中高級	authoritative	[形容詞] 權威性的;官方的;專斷的
中級	authority	[名詞] 職權;官方
中高級	authorize	[動詞] 授權給;批准
中高級	auto	[名詞] 汽車
中級	autobiography	[名詞] 自傳
中高級	autograph	[動詞] 親筆簽名於; [名詞] (尤指名人的)親筆簽名
中級	automatic	[形容詞] 自動的,習慣性的
中高級	automation	[名詞] 自動化
中級	automobile	[名詞] 汽車
中高級	autonomous	[形容詞] 自治的;自主的
中高級	autonomy	[名詞] 自治;自治權;自治團體
初級	autumn	[名詞] 秋季
中級	auxiliary	[形容詞] 輔助的; [名詞] 輔助者;助動詞
中高級	avail	[動詞] 有用;有幫助; [名詞] 效用;利益
初級	available	[形容詞] 可用的,可得到的,有效的
中級	avenue	[名詞] 大街,大道
中級	average	[形容詞] 平均的; [動詞] 算出...的平均數;使平衡; 平均為; [名詞] 平均;平均數
中高級	avert	[動詞] 避開;防止
中高級	aviary	[名詞] 鳥舍;禽舍
中高級	aviation	[名詞] 航空;飛行
初級	avoid	[動詞] 避免
中級	await	[動詞] 等候,期待
中級	awake	[形容詞] 醒著的; [動詞] 喚醒
中級	awaken	[動詞] 醒;覺醒;喚起
中級	award	[動詞] 授予; [名詞] 獎;獎品
初級	aware	[形容詞] 知道的,察覺的
初級	away	[副詞] 離開
中高級	awe	[動詞] 使敬畏;使畏怯; [名詞] 敬畏;畏怯
中高級	awesome	[形容詞] 令人敬畏的;非凡的
中級	awful	[形容詞] 可怕的
中高級	awhile	[副詞] 片刻
中級	awkward	[形容詞] 笨拙的;尷尬的
中級	ax	[動詞] 用斧劈;解雇; [名詞] 斧
中高級	axis	[名詞] 軸;中心線;核心
中級	B.C.	[縮寫] 西元前...年
中高級	B.S.	[縮寫] 理學士
初級	baby	[名詞] 嬰兒
中級	babysit	[動詞] 當保姆
中級	babysitter	[名詞] 臨時保姆
中高級	bachelor	[名詞] 單身漢
初級	back	[形容詞] 後面的;拖欠的;過去的; [動詞] 向後;追溯;回覆;贊助; [副詞] 回原處; [名詞] 背部;後面
中高級	backbone	[名詞] 脊柱;支柱;骨幹
中級	background	[名詞] 背景
中高級	backing	[名詞] 支持;逆行
中高級	backpack	[動詞] 把...放入背包; 背負簡便行李旅行; [名詞] 背包
初級	backward	[形容詞] 向後的;落後的; [副詞] 向後地;落後地
初級	backwards	[副詞] 向後;倒,逆;往回,向原處
中級	bacon	[名詞] 燻豬肉
中級	bacteria	[名詞] 細菌
初級	bad	[形容詞] 壞的
中高級	badge	[名詞] 徽章;證章
中級	badly	[副詞] 壞;拙劣地
初級	badminton	[名詞] 羽毛球
中高級	baffle	[動詞] 使受挫折;使困惑; [名詞] 困惑;障礙;緩衝板
初級	bag	[名詞] 袋子
中級	baggage	[名詞] 行李
中級	baggy	[形容詞] 袋狀的;寬鬆而下垂的
中高級	bail	[動詞] 保釋;助某人脫離困境;往外舀(水); [名詞] 保釋;保釋金(或人);戽斗
中級	bait	[動詞] 置餌於; [名詞] 餌
初級	bake	[動詞] 烘;烤
初級	bakery	[名詞] 麵包店
